Employee ID,First Name,Last Name,Designation,Total Leaves,Email,Phone,Company Address,Leaves Taken,Leaves Remaining
1,Schultz,Vanessa,Junior Engineer,12,vanes.schul@mayer-sutton.com,+1-455-639-6286x85119,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
2,Wall,William,Junior Engineer,12,willi.wall@kennedy.biz,(211)820-5163,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
3,Hicks,Teresa,Project manager,12,teres.hicks@mccullough.com,(881)636-1762x28922,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,1,11
4,Mcknight,Megan,Project manager,12,megan.mckni@chandler-walton.org,291.355.7964x268,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
5,Hines,Rebecca,Staff Engineer,20,rebec.hines@juarez.biz,792-557-6018,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,1,19
6,Huang,Michael,Tech Lead,12,micha.huang@smith-rogers.com,(313)517-3130x96034,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,1,11
7,Hall,Danielle,Project manager,12,danie.hall@gonzalez-williams.biz,001-587-341-8594x1155,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,2,10
8,Curtis,Linda,Senior Engineer,18,linda.curti@ferguson.com,(954)645-9458,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,18,0
9,Coleman,Jennifer,Project manager,12,jenni.colem@martin.com,333.366.5948,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
10,Castillo,Dylan,Staff Engineer,20,dylan.casti@howell.com,001-254-360-7346x38760,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
11,Whitney,Tina,Senior Engineer,18,tina.whitn@walker-nichols.info,536-769-4239x3985,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
12,Moore,Kimberly,Project manager,12,kimbe.moore@rivera.com,+1-389-937-0340,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
13,Pierce,Julia,Junior Engineer,12,julia.pierc@fletcher.com,001-228-515-3096x32733,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
14,Miller,Dustin,Project manager,12,dusti.mille@barton.net,+1-292-739-0369x03655,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
15,Smith,Andrew,Tech Lead,12,andre.smith@moore.com,712-883-0229x6952,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
16,Flores,Olivia,Senior Engineer,18,olivi.flore@avila.com,+1-265-441-1232x4292,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
17,Brown,Bridget,Senior Engineer,18,bridg.brown@blair-higgins.com,220-676-1016,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
18,Potter,Anthony,Senior Engineer,18,antho.potte@marks-stewart.com,814.346.8040,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
19,Figueroa,Wanda,Senior Engineer,18,wanda.figue@williams-gibson.biz,+1-275-752-6803x98900,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
20,Hogan,Michael,Senior Engineer,18,micha.hogan@douglas.com,268-605-1924x8184,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
21,Valentine,Kristen,Project manager,12,krist.valen@bell.com,001-231-945-6910x7316,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
22,Paul,John,Junior Engineer,12,john.paul@wilson-williams.net,248-662-7843,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
23,Frost,Francisco,Tech Lead,12,franc.frost@saunders.biz,(609)226-2703x6547,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
24,Walsh,Glenn,Senior Engineer,18,glenn.walsh@chung.com,(234)423-6440x64031,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
25,Li,Daniel,Project manager,12,danie.li@dillon.org,(561)690-1522,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
26,Lowe,Jessica,Tech Lead,12,jessi.lowe@fowler-craig.com,001-868-216-1081x73530,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
27,Shepard,Judy,Staff Engineer,20,judy.shepa@james.org,681.485.4867,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
28,Hoffman,Priscilla,Senior Engineer,18,prisc.hoffm@franklin.net,334-809-3359x693,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
29,Richard,Caleb,Project manager,12,caleb.richa@boyd.com,876.638.7033,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
30,Dawson,Eric,Staff Engineer,20,eric.dawso@arnold-guzman.com,3409607085,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
31,Black,Colleen,Tech Lead,12,colle.black@ortiz.biz,811.540.9854x81838,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
32,Mcbride,Martin,Staff Engineer,20,marti.mcbri@castillo.biz,+1-678-629-8986,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
33,Levine,Karen,Tech Lead,12,karen.levin@buckley.com,+1-520-463-5589x04715,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
34,Richards,Travis,Tech Lead,12,travi.richa@moore.net,001-682-853-1511x36153,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
35,Miller,Mark,Project manager,12,mark.mille@parker-castro.com,221.646.0468x04823,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
36,Mueller,Juan,Senior Engineer,18,juan.muell@lewis.com,(639)645-5305,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
37,Smith,Alexa,Junior Engineer,12,alexa.smith@brown.com,+1-664-699-0514x4516,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
38,Ramirez,Monique,Staff Engineer,20,moniq.ramir@parrish.com,(859)665-3361,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
39,Sanders,Sarah,Senior Engineer,18,sarah.sande@hanson.com,+1-678-311-4352x349,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
40,Hanson,Melissa,Staff Engineer,20,melis.hanso@lewis.com,001-934-964-3135,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
41,Mathis,Jennifer,Senior Engineer,18,jenni.mathi@frey-smith.com,+1-343-620-3894x62664,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
42,Alexander,Carl,Tech Lead,12,carl.alexa@harrison-chang.com,523-618-1863,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
43,Parker,Kimberly,Tech Lead,12,kimbe.parke@duncan-kennedy.com,649-996-0533x2023,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,12
44,Garcia,Mia,Staff Engineer,20,mia.garci@brown.com,609-641-1171x197,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
45,Brooks,Robin,Senior Engineer,18,robin.brook@abbott-rogers.com,+1-899-963-3988,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
46,Harvey,Randy,Senior Engineer,18,randy.harve@jones.com,483.941.1546x5695,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
47,Tran,Tina,Staff Engineer,20,tina.tran@mcgrath.com,(343)489-7344x084,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,20
48,Lee,Michael,Senior Engineer,18,micha.lee@munoz-castillo.biz,001-716-979-4047x77583,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,0,18
49,Mahoney,Jenny,Staff Engineer,20,jenny.mahon@johnson.info,+1-391-522-2458x4188,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,1,19
50,Beard,John,Staff Engineer,20,john.beard@clark-valencia.com,3003102422,100 Flat Grape Dr.;Fresno;CA;95555;United States of America,1,19
